Posted Date,Reference Number,Payee,Address,Amount
01/03/2026,9182640001,"MCDONALD'S #38291","123 MAIN ST, STE 100, ANYTOWN US",-8.49
01/05/2026,9182640002,"AT&T WIRELESS","ONLINE, DALLAS TX",-85.00
01/08/2026,9182640003,PAYMENT - THANK YOU,"",-0.00
01/10/2026,9182640004,"TIFFANY & CO","727 5TH AVE, NEW YORK NY",-275.00
01/12/2026,9182640005,RETURN TIFFANY & CO,"727 5TH AVE, NEW YORK NY",275.00
01/15/2026,9182640006,"JOHNSON, SMITH & ASSOC","100 PARK AVE, STE 200, NEW YORK NY",-1500.00
01/18/2026,9182640007,ONLINE PAYMENT THANK YOU,"","5,000.00"
01/20/2026,9182640008,FOREIGN TRANSACTION FEE,"",-4.12
01/22/2026,9182640009,LATE PAYMENT FEE,"",-29.00
01/25/2026,9182640010,INTEREST CHARGE,"",-18.73
