Description,,Summary Amt.
Beginning balance as of 01/01/2026,,"12,500.00"
Total credits,,"53,200.00"
Total debits,,"-4,382.56"
Ending balance as of 01/31/2026,,"61,317.44"

Date,Description,Amount,Running Bal.
01/01/2026,Beginning balance as of 01/01/2026,,"12,500.00"
01/02/2026,WIRE TRANSFER FROM ESCROW,"50,000.00","62,500.00"
01/03/2026,CHECK 1043,-0.01,"62,499.99"
01/05/2026,ATM WITHDRAWAL,-500.00,"61,999.99"
01/07/2026,OVERDRAFT FEE,-35.00,"61,964.99"
01/07/2026,OVERDRAFT FEE REVERSAL,35.00,"61,999.99"
01/10/2026,INTEREST PAYMENT,0.45,"62,000.44"
01/12/2026,DIRECT DEPOSIT ACME CORP,"3,200.00","65,200.44"
01/15/2026,"JOHNSON, SMITH & ASSOCIATES",-750.00,"64,450.44"
01/18/2026,ZELLE FROM JOHN DOE,200.00,"64,650.44"
01/20/2026,MONTHLY SERVICE FEE,-12.00,"64,638.44"
01/22/2026,MONTHLY SERVICE FEE REVERSAL,12.00,"64,650.44"
01/25/2026,WIRE TRANSFER TO SAVINGS,"-10,000.00","54,650.44"
01/28/2026,CHARITABLE DONATION ST JUDES,-500.00,"54,150.44"
01/31/2026,Ending balance as of 01/31/2026,,"61,317.44"
