Description,,Summary Amt.
Beginning balance as of 03/01/2025,,"4,850.00"
Total credits,,"6,750.00"
Total debits,,"-5,423.18"
Ending balance as of 04/30/2025,,"6,176.82"

Date,Description,Amount,Running Bal.
03/01/2025,Beginning balance as of 03/01/2025,,"4,850.00"
03/03/2025,KROGER #482,-78.42,"4,771.58"
03/05/2025,GEICO INSURANCE,-142.00,"4,629.58"
03/07/2025,XFINITY INTERNET,-79.99,"4,549.59"
03/10/2025,CHECK 1038,-200.00,"4,349.59"
03/15/2025,DIRECT DEPOSIT ACME CORP,3200.00,"7,549.59"
03/18/2025,ZELLE TO MIKE SMITH,-250.00,"7,299.59"
03/20/2025,ATM WITHDRAWAL,-60.00,"7,239.59"
03/25/2025,MAPLE AVE APARTMENTS,-2400.00,"4,839.59"
03/28/2025,PG&E ELECTRIC,-112.77,"4,726.82"
03/31/2025,DIRECT DEPOSIT ACME CORP,3200.00,"7,926.82"
04/02/2025,TRADER JOES #142,-52.18,"7,874.64"
04/05/2025,AMAZON PRIME*MEMBERSHIP,-14.99,"7,859.65"
04/10/2025,VENMO CASHOUT,350.00,"8,209.65"
04/15/2025,DIRECT DEPOSIT ACME CORP,3200.00,"11,409.65"
04/18/2025,COSTCO GAS #1142,-52.83,"11,356.82"
04/25/2025,MAPLE AVE APARTMENTS,-2400.00,"8,956.82"
04/28/2025,PROPERTY TAX PAYMENT,-1500.00,"7,456.82"
04/30/2025,Ending balance as of 04/30/2025,,"6,176.82"
