Transaction Date,Post Date,Description,Category,Type,Amount
04/01/2026,04/02/2026,MAPLE AVE APARTMENTS RENT,Bills & Utilities,Sale,-2400.00
04/03/2026,04/04/2026,GROCERYLAND MARKET,Groceries,Sale,-50.30
04/04/2026,04/05/2026,NETFLIX.COM,Entertainment,Sale,-15.49
04/05/2026,04/06/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-5.25
04/06/2026,04/07/2026,FIBERNET INTERNET,Bills & Utilities,Sale,-79.99
04/07/2026,04/08/2026,CITY ELECTRIC CO AUTOPAY,Bills & Utilities,Sale,-121.40
04/08/2026,04/09/2026,SPOTIFY PREMIUM,Entertainment,Sale,-10.99
04/09/2026,04/10/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-5.75
04/10/2026,04/11/2026,RIVERDALE GYM MONTHLY,Health & Wellness,Sale,-49.99
04/11/2026,04/12/2026,GROCERYLAND MARKET,Groceries,Sale,-57.20
04/12/2026,04/13/2026,CELLULARONE WIRELESS,Bills & Utilities,Sale,-65.00
04/13/2026,04/14/2026,SUNRISE DINER,Food & Drink,Sale,-19.50
04/15/2026,04/15/2026,PAYROLL DEPOSIT - ACME CORP,Income,Payment,3200.00
04/16/2026,04/17/2026,SHELL GAS #4421,Gas,Sale,-46.80
04/18/2026,04/19/2026,GROCERYLAND MARKET,Groceries,Sale,-53.65
04/20/2026,04/21/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-6.00
04/22/2026,04/23/2026,AMAZON MARKETPLACE,Shopping,Sale,-29.99
04/24/2026,04/25/2026,GROCERYLAND MARKET,Groceries,Sale,-48.40
04/26/2026,04/27/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-5.50
04/28/2026,04/29/2026,PHARMACY PLUS,Health & Wellness,Sale,-22.10
