Transaction Date,Post Date,Description,Category,Type,Amount
05/01/2026,05/02/2026,MAPLE AVE APARTMENTS RENT,Bills & Utilities,Sale,-2400.00
05/02/2026,05/03/2026,GROCERYLAND MARKET,Groceries,Sale,-54.20
05/02/2026,05/03/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-5.25
05/03/2026,05/04/2026,SHELL GAS #4421,Gas,Sale,-48.30
05/04/2026,05/05/2026,NETFLIX.COM,Entertainment,Sale,-15.49
05/04/2026,05/05/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-6.50
05/05/2026,05/06/2026,SUNRISE DINER,Food & Drink,Sale,-22.80
05/06/2026,05/07/2026,FIBERNET INTERNET,Bills & Utilities,Sale,-79.99
05/06/2026,05/07/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-4.75
05/07/2026,05/08/2026,CITY ELECTRIC CO AUTOPAY,Bills & Utilities,Sale,-128.50
05/08/2026,05/09/2026,SPOTIFY PREMIUM,Entertainment,Sale,-10.99
05/08/2026,05/09/2026,GROCERYLAND MARKET,Groceries,Sale,-61.45
05/09/2026,05/10/2026,CLOUDSTREAM ANNUAL,Shopping,Sale,-119.88
05/09/2026,05/10/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-5.75
05/10/2026,05/11/2026,RIVERDALE GYM MONTHLY,Health & Wellness,Sale,-49.99
05/11/2026,05/12/2026,CLOUDSTREAM ANNUAL,Shopping,Sale,-119.88
05/11/2026,05/12/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-6.25
05/12/2026,05/13/2026,CELLULARONE WIRELESS,Bills & Utilities,Sale,-65.00
05/12/2026,05/13/2026,MEGA ONLINE STORE,Shopping,Sale,-88.40
05/13/2026,05/14/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-5.50
05/14/2026,05/15/2026,GROCERYLAND MARKET,Groceries,Sale,-49.90
05/15/2026,05/15/2026,PAYROLL DEPOSIT - ACME CORP,Income,Payment,3200.00
05/16/2026,05/17/2026,RIDESHARE TRIP,Travel,Sale,-18.60
05/17/2026,05/18/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-52.00
05/18/2026,05/19/2026,SUNRISE DINER,Food & Drink,Sale,-26.40
05/19/2026,05/20/2026,GROCERYLAND MARKET,Groceries,Sale,-58.75
05/20/2026,05/21/2026,SHELL GAS #4421,Gas,Sale,-44.10
05/21/2026,05/22/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-5.00
05/22/2026,05/23/2026,AMAZON MARKETPLACE,Shopping,Sale,-34.99
05/23/2026,05/24/2026,PHARMACY PLUS,Health & Wellness,Sale,-27.30
05/24/2026,05/25/2026,GROCERYLAND MARKET,Groceries,Sale,-52.10
05/25/2026,05/26/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-5.75
05/26/2026,05/27/2026,THE GRILLHOUSE,Food & Drink,Sale,-64.20
05/27/2026,05/28/2026,PARKING GARAGE 5TH ST,Travel,Sale,-12.00
05/28/2026,05/29/2026,GROCERYLAND MARKET,Groceries,Sale,-47.85
05/29/2026,05/30/2026,BLUE BOTTLE COFFEE,Food & Drink,Sale,-6.00
05/30/2026,05/31/2026,STREAMFLIX PLUS,Entertainment,Sale,-13.99
