Transaction Date,Post Date,Description,Category,Type,Amount
09/02/2025,09/03/2025,TRADER JOES #142,Groceries,Sale,-67.83
09/05/2025,09/06/2025,SPECTRUM CABLE BILL,Bills & Utilities,Sale,-89.99
09/08/2025,09/09/2025,AMAZON.COM*2K7X9B1,Shopping,Sale,-34.99
09/10/2025,09/10/2025,DIRECT DEP ACME CORP,Income,Payment,3200.00
09/12/2025,09/13/2025,WALGREENS #4219,Health & Wellness,Sale,-12.47
09/15/2025,09/16/2025,SHELL OIL 57442,Gas,Sale,-48.72
09/18/2025,09/19/2025,CHIPOTLE ONLINE,Food & Drink,Sale,-11.25
09/20/2025,09/21/2025,TARGET 00012847,Shopping,Sale,-156.30
09/22/2025,09/23/2025,SPOTIFY USA,Entertainment,Sale,-10.99
09/25/2025,09/25/2025,DIRECT DEP ACME CORP,Income,Payment,3200.00
09/28/2025,09/29/2025,MAPLE AVE APARTMENTS,Bills & Utilities,Sale,-2400.00
10/01/2025,10/02/2025,CORNER MARKET #1247,Groceries,Sale,-38.91
10/03/2025,10/04/2025,CVS PHARMACY #8312,Health & Wellness,Sale,-22.15
10/05/2025,10/06/2025,UBER TRIP 9X2B1,Travel,Sale,-27.50
10/08/2025,10/09/2025,STARBUCKS STORE 04218,Food & Drink,Sale,-6.95
