Transaction Date,Post Date,Description,Category,Type,Amount
01/15/2026,01/15/2026,PAYROLL DEPOSIT - ACME CORP,Income,Payment,3200.00
01/18/2026,01/19/2026,OAK STREET COFFEE,Food & Drink,Sale,-5.75
01/22/2026,01/23/2026,MEGA ONLINE STORE,Shopping,Sale,-189.30
01/25/2026,01/26/2026,RETURN - MEGA ONLINE STORE,Shopping,Return,189.30
01/28/2026,01/29/2026,MAPLE AVE APARTMENTS RENT,Bills & Utilities,Sale,-2400.00
02/01/2026,02/02/2026,SUNRISE DINER,Food & Drink,Sale,-18.42
02/05/2026,02/06/2026,WALGREENS #4219,Health & Wellness,Sale,-12.47
02/08/2026,02/09/2026,SHELL OIL 57442,Gas,Sale,-48.72
02/10/2026,02/11/2026,SPOTIFY USA,Entertainment,Sale,-10.99
02/15/2026,02/15/2026,PAYROLL DEPOSIT - ACME CORP,Income,Payment,3200.00
